Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;41.92;12.74;0;3.81;2.76;5.39;0.2;1.03;
inbetween;0;0;0;0;2.16;0.8;0.25;0.02;
outer;0;0;0;0;0.59;0;0.21;0.36;
count_inner;3;2;0;3;4;14;1;22;
count_inbetween;0;0;0;0;3;2;1;2;
count_outer;0;0;0;0;1;0;1;13;
