Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.012;1.091;1.1203;1.0566;
2;1.0176;1.1854;1.2416;1.0833;
3;1.0232;1.2302;1.3257;1.0904;
4;1.0269;1.2411;1.4077;1.0973;
5;1.0288;1.2511;1.4329;1.104;
6;1.0308;1.2601;1.4572;1.1103;
7;1.0323;1.2686;1.4771;1.1157;
8;1.0338;1.2746;1.4956;1.1206;
9;1.0353;1.2802;1.5116;1.1254;
10;1.0365;1.2854;1.5269;1.1297;
11;1.037;1.2893;1.5409;1.1336;
12;1.0376;1.2931;1.5516;1.1374;
13;1.0381;1.2967;1.5622;1.1411;
14;1.0386;1.2995;1.5721;1.1445;
15;1.0389;1.302;1.5819;1.1477;
16;1.0392;1.3043;1.5916;1.1508;
17;1.0394;1.3065;1.6014;1.1536;
18;1.0397;1.3085;1.6102;1.1563;
19;1.0399;1.31;1.6189;1.1587;
20;1.0401;1.3114;1.6274;1.161;
21;1.0402;1.3128;1.636;1.1633;
22;1.0404;1.3139;1.6444;1.1655;
23;1.0406;1.3148;1.6528;1.1678;
24;1.0407;1.3153;1.661;1.1698;
25;1.0408;1.3158;1.669;1.1717;
26;1.0409;1.3163;1.6768;1.1734;
27;1.0411;1.3167;1.6838;1.1749;
28;1.0412;1.317;1.6907;1.1764;
29;1.0413;1.3173;1.6978;1.1777;
30;1.0414;1.3175;1.7042;1.179;
31;1.0415;1.3175;1.7101;1.1802;
32;1.0416;1.3175;1.7157;1.1815;
33;1.0417;1.3175;1.7209;1.1827;
34;1.0418;1.3175;1.7241;1.1838;
35;1.0418;1.3175;1.7271;1.1849;
36;1.0419;1.3175;1.7299;1.1857;
37;1.042;1.3175;1.7324;1.1863;
38;1.042;1.3175;1.7341;1.1869;
39;1.0421;1.3175;1.7356;1.1875;
40;1.0421;1.3175;1.737;1.188;
