run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;4;9;10.57;1;1;1;
1;R2x4;4;8;10.59;0.88888888888889;0.99811142587347;1.1228753541076;
2;R3x4;4;8;10.41;0.88888888888889;1.0153698366955;1.1422910662824;
3;R4x2;4;10;10.54;1.1111111111111;1.0028462998102;0.90256166982922;
4;R4x4;4;7;10.31;0.77777777777778;1.0252182347236;1.3181377303589;
