function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
542;libmpich.so.12.1.8;mpirinitf_;;66.67;0.73;;;;;;"0,100,0,0,0,0,0,0,0,0";
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;10.96;0.12;;;;;;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;8.22;0.09;;;;;;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;5.94;0.06;;;;;;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;2.28;0.02;;;;;;"0,20.000000670532,0,0,79.999999329468,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;1.37;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
1019;libc-2.31.so;__write;;0.46;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
1016;libc-2.31.so;openat;;0.46;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
640;libc-2.31.so;strerror;;0.46;0;;;;;;"0,0,0,0,0,0,0,100,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.46;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
590;libc-2.31.so;__libc_realloc;;0.46;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
589;libc-2.31.so;__libc_free;;0.46;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.46;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;0.46;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
349;libc-2.31.so;__isoc99_sscanf;;0.46;0;;;;;;"0,0,0,0,0,0,0,100,0,0";
79;libmpich.so.12.1.8;poll@plt;;0.46;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
