Range;Coverage;Count;
1;6.07;1;
2;0;0;
3 to 4;0;0;
5 to 8;0;0;
9 to 16;0.02;1;
17 to 32;0;0;
33 to 64;0;0;
> 64;0;0;
unknown;0;0;
