function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
542;libmpich.so.12.1.8;mpirinitf_;;38.55;0.34;;;;;;"0,100,0,0,0,0,0,0,0,0";
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;23.46;0.21;;;;;;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;20.11;0.18;;;;;;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;2.79;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;2.23;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
1016;libc-2.31.so;openat;;1.68;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;1.68;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;1.12;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
-1;kernel;unknown_kernel_region;;1.12;0.01;;;;;;"0,50,0,0,50,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.56;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
1028;libc-2.31.so;__close;;0.56;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
1018;libc-2.31.so;__read;;0.56;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
589;libc-2.31.so;__libc_free;;0.56;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
525;libc-2.31.so;_IO_sputbackc;;0.56;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
515;libc-2.31.so;_IO_setb;;0.56;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
351;libc-2.31.so;psiginfo;;0.56;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
349;libc-2.31.so;__isoc99_sscanf;;0.56;0;;;;;;"0,0,0,0,0,0,0,100,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.56;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.56;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
49;libc-2.31.so;.plt.sec@start;;0.56;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;0.56;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
8;lbm;setup_init_state;lbm_init.c:25-122,lbm_phys.c:98-145,lbm_struct.h:130-148;0.56;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
