Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0018;1.0084;1.0473;1.0396;
2;1.0028;1.0155;1.098;1.0811;
3;1.0037;1.0223;1.1482;1.1218;
4;1.0045;1.028;1.179;1.132;
5;1.0051;1.0335;1.211;1.1408;
6;1.0057;1.0391;1.2427;1.1479;
7;1.006;1.0446;1.2658;1.1523;
8;1.0063;1.0463;1.2861;1.1563;
9;1.0064;1.0478;1.3058;1.16;
10;1.0065;1.0491;1.3221;1.1634;
11;1.0066;1.0503;1.3353;1.1665;
12;1.0067;1.051;1.3451;1.1694;
13;1.0067;1.0517;1.3541;1.1707;
14;1.0068;1.0521;1.3627;1.1718;
15;1.0068;1.0522;1.371;1.1728;
16;1.0068;1.0524;1.3784;1.1738;
17;1.0068;1.0524;1.3854;1.1747;
18;1.0068;1.0525;1.3898;1.1756;
19;1.0068;1.0526;1.3938;1.1764;
20;1.0068;1.0526;1.3964;1.177;
21;1.0068;1.0527;1.3988;1.1776;
22;1.0068;1.0527;1.4006;1.178;
23;1.0068;1.0527;1.4019;1.1784;
24;1.0068;1.0527;1.4031;1.1786;
25;1.0068;1.0528;1.4042;1.1789;
26;1.0068;1.0528;1.4054;1.179;
27;1.0068;1.0528;1.4065;1.1791;
28;1.0068;1.0528;1.4074;1.1792;
29;1.0068;1.0528;1.4082;1.1792;
30;1.0068;1.0528;1.409;1.1793;
31;1.0068;1.0528;1.4097;1.1793;
32;1.0068;1.0528;1.4104;1.1793;
33;1.0068;1.0528;1.411;1.1793;
34;1.0068;1.0528;1.4115;1.1793;
35;1.0068;1.0528;1.4119;1.1793;
36;1.0068;1.0528;1.4123;1.1793;
37;1.0068;1.0528;1.4127;1.1793;
38;1.0068;1.0528;1.4131;1.1793;
39;1.0068;1.0528;1.4133;1.1793;
40;1.0068;1.0528;1.4136;1.1793;
