name;time_p;time_s;cpi_ratio;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_btl_vader.so;73.5;7.77;;
/home/katia/Bureau/PPN/mpiBench-main/Compare/binaries/mpiBench;6.85;0.72;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;6.81;0.72;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/libopen-pal.so.40.20.3;6.61;0.7;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_pml_ob1.so;3.96;0.42;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/libmpi.so.40.20.3;2.15;0.23;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.04;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_allocator_bucket.so;0.04;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_coll_tuned.so;0.02;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_mtl_ofi.so;0.01;0;;
/usr/lib/x86_64-linux-gnu/pmix/lib/libmca_common_dstore.so.1.0.2;0.01;0;;
