Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;0;8.44;3.51;4.89;4.39;1.78;0.34;0.51;
inbetween;0;0;0;0;0;0;0;0.03;
outer;0;0;0;0;0;0;0.39;0.23;
count_inner;0;2;1;3;6;5;2;14;
count_inbetween;0;0;0;0;0;0;0;2;
count_outer;0;0;0;0;0;0;2;4;
