Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0005;1.0037;1.022;1.0185;
2;1.001;1.0072;1.0449;1.0375;
3;1.0013;1.0105;1.0647;1.0538;
4;1.0016;1.0134;1.0778;1.0572;
5;1.0017;1.0161;1.0909;1.0601;
6;1.0018;1.0187;1.1033;1.0623;
7;1.0019;1.0212;1.1115;1.0644;
8;1.002;1.0219;1.1192;1.0662;
9;1.0021;1.0227;1.1263;1.0677;
10;1.0022;1.0233;1.132;1.0689;
11;1.0022;1.0237;1.1363;1.07;
12;1.0022;1.024;1.1398;1.0711;
13;1.0023;1.0242;1.143;1.0719;
14;1.0023;1.0243;1.146;1.0725;
15;1.0023;1.0244;1.1489;1.073;
16;1.0023;1.0245;1.1516;1.0734;
17;1.0023;1.0245;1.153;1.0737;
18;1.0023;1.0245;1.1544;1.074;
19;1.0023;1.0245;1.1554;1.0742;
20;1.0023;1.0245;1.1564;1.0744;
21;1.0023;1.0245;1.1571;1.0745;
22;1.0023;1.0245;1.1577;1.0746;
23;1.0023;1.0245;1.1582;1.0747;
24;1.0023;1.0245;1.1587;1.0748;
25;1.0023;1.0245;1.1591;1.0749;
26;1.0023;1.0245;1.1594;1.0749;
27;1.0023;1.0245;1.1597;1.0749;
28;1.0023;1.0245;1.16;1.0749;
29;1.0023;1.0245;1.1602;1.0749;
30;1.0023;1.0245;1.1605;1.0749;
31;1.0023;1.0245;1.1607;1.0749;
32;1.0023;1.0245;1.1609;1.0749;
33;1.0023;1.0245;1.1611;1.0749;
34;1.0023;1.0245;1.1613;1.0749;
35;1.0023;1.0245;1.1614;1.0749;
36;1.0023;1.0245;1.1615;1.0749;
37;1.0023;1.0245;1.1616;1.0749;
38;1.0023;1.0245;1.1617;1.0749;
39;1.0023;1.0245;1.1617;1.0749;
40;1.0023;1.0245;1.1618;1.0749;
