name;time_p;time_s;cpi_ratio;
/usr/lib/x86_64-linux-gnu/libmpich.so.12.1.8;38.35;0.19;;
/users/user2234/Code_Nbody3D/rapport/binaries/nbody_mpi;31.24;0.16;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;29.73;0.15;;
kernel;0.44;0;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.17;0;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.07;0;;
