function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
46;lu-mz.A.x;sync_left;syncs.f90:73-88;21.61;0.43;;;;;;"100,0,0,0,0,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;19.85;0.39;;;;;;"0,0,100,0,0,0,0,0,0,0";
37;lu-mz.A.x;rhs_._omp_fn.0;rhs.f90:58-475;16.58;0.33;;;;;;"100,0,0,0,0,0,0,0,0,0";
44;lu-mz.A.x;buts;buts.f90:4-235;13.32;0.26;;;;;;"100,0,0,0,0,0,0,0,0,0";
41;lu-mz.A.x;jacld;jacld.f90:5-357;9.3;0.18;;;;;;"100,0,0,0,0,0,0,0,0,0";
43;lu-mz.A.x;jacu;jacu.f90:5-356;8.29;0.16;;;;;;"100,0,0,0,0,0,0,0,0,0";
42;lu-mz.A.x;blts;blts.f90:4-236;8.04;0.16;;;;;;"100,0,0,0,0,0,0,0,0,0";
26;lu-mz.A.x;ssor_._omp_fn.0;ssor.f90:39-170;2.26;0.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
111;libgomp.so.1.0.0;GOMP_barrier;;0.25;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
47;lu-mz.A.x;sync_right;syncs.f90:111-125;0.25;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
24;lu-mz.A.x;erhs_._omp_fn.0;erhs.f90:53-484;0.25;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
