Range;Coverage;Count;
1;21.64;3;
2;0.06;1;
3 to 4;0;0;
5 to 8;0;0;
9 to 16;0.87;1;
17 to 32;0;0;
33 to 64;0.03;1;
> 64;21.88;1;
unknown;0;0;
