Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0226;1.1834;1.2496;1.1139;
2;1.0335;1.4213;1.5854;1.1761;
3;1.0406;1.5222;1.8449;1.1969;
4;1.0461;1.5484;2.1802;1.2136;
5;1.0492;1.5743;2.2968;1.2303;
6;1.0516;1.6001;2.4198;1.2474;
7;1.0536;1.6249;2.514;1.2615;
8;1.0548;1.6468;2.604;1.2735;
9;1.056;1.6601;2.698;1.285;
10;1.057;1.6717;2.7855;1.2963;
11;1.0579;1.6824;2.8752;1.3075;
12;1.0586;1.6909;2.9665;1.315;
13;1.0592;1.6991;3.0635;1.3225;
14;1.0597;1.7069;3.1505;1.3293;
15;1.0601;1.7136;3.2389;1.336;
16;1.0606;1.7201;3.3179;1.3424;
17;1.0611;1.7266;3.3978;1.3486;
18;1.0615;1.7329;3.4784;1.3543;
19;1.0618;1.7391;3.5564;1.3598;
20;1.0621;1.7451;3.6375;1.3651;
21;1.0624;1.7502;3.7192;1.3703;
22;1.0627;1.7551;3.8008;1.3748;
23;1.0629;1.7592;3.8808;1.3792;
24;1.0631;1.762;3.9588;1.3828;
25;1.0634;1.7636;4.0357;1.3863;
26;1.0636;1.7647;4.1127;1.3897;
27;1.0637;1.7658;4.1895;1.3927;
28;1.0639;1.7665;4.2435;1.3954;
29;1.0641;1.7672;4.2888;1.3976;
30;1.0641;1.7677;4.3321;1.3994;
31;1.0641;1.7677;4.3636;1.4007;
32;1.0641;1.7677;4.3811;1.4017;
33;1.0641;1.7677;4.3933;1.4026;
34;1.0641;1.7677;4.4047;1.4034;
35;1.0641;1.7677;4.415;1.4041;
36;1.0641;1.7677;4.4219;1.4046;
37;1.0641;1.7677;4.4288;1.405;
38;1.0641;1.7677;4.4357;1.4054;
39;1.0641;1.7677;4.4424;1.4058;
40;1.0641;1.7677;4.4482;1.406;
