Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;56.42;7.58;4.14;5.01;9.42;1.29;0.38;0.51;
inbetween;0;0;0;1.37;0.69;0.48;0.25;0.15;
outer;0;0;0;0;0;0.34;0.14;0.27;
count_inner;4;1;2;4;14;3;2;17;
count_inbetween;0;0;0;1;1;1;1;3;
count_outer;0;0;0;0;0;1;1;9;
