run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;1;1;7.6287980079651;1;1;1;
1;R2;2;2;4.2686791419983;2;1.7871565779933;0.89357828899666;
2;R4;4;4;3.3042268753052;4;2.3087996968309;0.57719992420772;
3;R8;8;8;2.7427599430084;8;2.7814311738844;0.34767889673555;
4;R16;16;16;3.463436126709;16;2.2026674461048;0.13766671538155;
5;R20;20;20;3.823814868927;20;1.9950751460166;0.099753757300831;
6;R32;32;32;5.5968689918518;32;1.3630474501139;0.042595232816059;
