Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;68.86;0;7.75;5.43;11.01;0;0.73;0.58;
inbetween;0;0;0;1.34;1.22;0.36;0.13;0.05;
outer;0;0;0;0;0;0.45;0;0.28;
count_inner;4;0;3;4;15;0;3;14;
count_inbetween;0;0;0;1;2;1;1;2;
count_outer;0;0;0;0;0;1;0;7;
