name;time_p;time_s;cpi_ratio;
/users/user2236/lbm_opt/target/Compare/binaries/lbm;73.99;1.95;;
/usr/lib/x86_64-linux-gnu/libmpich.so.12.1.8;23.28;0.61;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;2.48;0.07;;
kernel;0.15;0;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.05;0;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.05;0;;
