Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.001;1.0072;1.0451;1.0378;
2;1.0019;1.0142;1.0938;1.0777;
3;1.0027;1.0213;1.1424;1.1171;
4;1.0033;1.0275;1.1723;1.1267;
5;1.0039;1.0329;1.1995;1.1325;
6;1.0044;1.038;1.2275;1.1376;
7;1.0047;1.0427;1.2472;1.1416;
8;1.0049;1.0446;1.2669;1.1453;
9;1.0051;1.0462;1.2865;1.1488;
10;1.0052;1.0475;1.2999;1.1513;
11;1.0054;1.0482;1.3115;1.1539;
12;1.0054;1.0488;1.3217;1.1557;
13;1.0055;1.0492;1.3316;1.1575;
14;1.0056;1.0494;1.3409;1.1592;
15;1.0056;1.0496;1.3498;1.1605;
16;1.0056;1.0498;1.3566;1.1617;
17;1.0056;1.0499;1.3605;1.1628;
18;1.0056;1.0499;1.3639;1.1639;
19;1.0056;1.05;1.3671;1.1648;
20;1.0056;1.05;1.3696;1.1655;
21;1.0056;1.05;1.371;1.1662;
22;1.0056;1.0501;1.3725;1.1666;
23;1.0056;1.0501;1.3739;1.1669;
24;1.0056;1.0501;1.3752;1.1672;
25;1.0056;1.0501;1.3764;1.1674;
26;1.0056;1.0501;1.3776;1.1675;
27;1.0056;1.0501;1.3786;1.1676;
28;1.0056;1.0501;1.3797;1.1677;
29;1.0056;1.0501;1.3806;1.1678;
30;1.0056;1.0501;1.3816;1.1678;
31;1.0056;1.0501;1.3824;1.1678;
32;1.0056;1.0501;1.3832;1.1678;
33;1.0056;1.0501;1.3837;1.1678;
34;1.0056;1.0501;1.3842;1.1678;
35;1.0056;1.0501;1.3847;1.1678;
36;1.0056;1.0501;1.3851;1.1678;
37;1.0056;1.0501;1.3855;1.1678;
38;1.0056;1.0501;1.3858;1.1678;
39;1.0056;1.0501;1.3861;1.1678;
40;1.0056;1.0501;1.3863;1.1678;
