Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;42.68;0;0;0;1.4;0.31;0;0.09;
inbetween;0;0;0;0;0.8;0;0;0;
outer;0;0;0;0;0;0;0;0.03;
count_inner;2;0;0;0;2;1;0;2;
count_inbetween;0;0;0;0;1;0;0;0;
count_outer;0;0;0;0;0;0;0;1;
