Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0223;1.1791;1.243;1.1092;
2;1.0323;1.3943;1.5432;1.1617;
3;1.0382;1.507;1.7889;1.1786;
4;1.0425;1.5355;2.091;1.1955;
5;1.0454;1.5641;2.2061;1.2092;
6;1.0475;1.5925;2.3248;1.2231;
7;1.0495;1.6216;2.4275;1.2348;
8;1.0512;1.637;2.5067;1.2442;
9;1.0525;1.6525;2.5873;1.2528;
10;1.0536;1.6645;2.6726;1.2608;
11;1.0546;1.6758;2.7418;1.2688;
12;1.0554;1.6867;2.8065;1.2769;
13;1.0561;1.6966;2.8713;1.2839;
14;1.0566;1.7031;2.9378;1.2908;
15;1.057;1.7094;3.0018;1.2977;
16;1.0574;1.7154;3.0638;1.3035;
17;1.0578;1.7209;3.1284;1.3094;
18;1.0582;1.7248;3.1948;1.3146;
19;1.0585;1.7284;3.2595;1.3198;
20;1.0588;1.7315;3.323;1.3248;
21;1.0591;1.7335;3.388;1.3296;
22;1.0593;1.7351;3.4536;1.334;
23;1.0596;1.7364;3.5195;1.3381;
24;1.0598;1.7377;3.5869;1.3414;
25;1.06;1.7388;3.655;1.3445;
26;1.0602;1.74;3.7216;1.3476;
27;1.0603;1.7411;3.772;1.3506;
28;1.0604;1.742;3.8119;1.3537;
29;1.0605;1.7425;3.8481;1.3565;
30;1.0606;1.7429;3.8726;1.3592;
31;1.0607;1.7429;3.8954;1.3619;
32;1.0607;1.7429;3.9118;1.3636;
33;1.0607;1.7429;3.9268;1.3649;
34;1.0607;1.7429;3.9417;1.3661;
35;1.0607;1.7429;3.9567;1.3672;
36;1.0607;1.7429;3.9677;1.3681;
37;1.0607;1.7429;3.9776;1.369;
38;1.0607;1.7429;3.986;1.3697;
39;1.0607;1.7429;3.9929;1.3703;
40;1.0607;1.7429;3.9972;1.3706;
