name;time_p;time_s;cpi_ratio;
/home/anism/VersionFinaleNbody3D/maqao_2022-05-02_22-47-11/binaries/nbody.g4;99.93;0.68;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.05;0;;
kernel;0.02;0;;
