name;time_p;time_s;cpi_ratio;
/usr/lib/x86_64-linux-gnu/libmpich.so.12.1.8;47.01;0.49;;
/users/user2207/lbm_opt/target/multi/binaries/lbm;45.34;0.47;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;7.09;0.07;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.25;0;;
kernel;0.15;0;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.09;0;;
[vdso];0.03;0;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.03;0;;
