Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0158;1.1292;1.1727;1.0755;
2;1.0236;1.278;1.3709;1.1142;
3;1.0289;1.3513;1.5175;1.1249;
4;1.0323;1.3677;1.6628;1.1353;
5;1.0341;1.3823;1.7109;1.144;
6;1.0358;1.3969;1.755;1.1519;
7;1.0374;1.4115;1.7927;1.1589;
8;1.0386;1.4222;1.8318;1.1659;
9;1.0397;1.4317;1.862;1.1728;
10;1.0406;1.438;1.89;1.1786;
11;1.0413;1.4443;1.917;1.1842;
12;1.0419;1.4503;1.942;1.1898;
13;1.0423;1.4547;1.9671;1.1946;
14;1.0427;1.4588;1.9904;1.1992;
15;1.043;1.4624;2.0136;1.2037;
16;1.0433;1.466;2.0362;1.208;
17;1.0436;1.4695;2.0563;1.2121;
18;1.0439;1.4723;2.0761;1.2157;
19;1.0442;1.4747;2.096;1.2193;
20;1.0444;1.4768;2.1158;1.2226;
21;1.0447;1.4779;2.1339;1.2257;
22;1.0449;1.4789;2.1524;1.2287;
23;1.045;1.4798;2.1712;1.2316;
24;1.0452;1.4806;2.1895;1.2344;
25;1.0454;1.4813;2.2082;1.2371;
26;1.0455;1.482;2.2267;1.2397;
27;1.0456;1.4826;2.243;1.2417;
28;1.0457;1.4832;2.2594;1.2437;
29;1.0458;1.4835;2.2751;1.2457;
30;1.0459;1.4836;2.2819;1.2474;
31;1.0459;1.4836;2.2882;1.249;
32;1.0459;1.4836;2.2938;1.2505;
33;1.0459;1.4836;2.2986;1.2517;
34;1.0459;1.4836;2.3029;1.2529;
35;1.0459;1.4836;2.3067;1.2539;
36;1.0459;1.4836;2.3105;1.2546;
37;1.0459;1.4836;2.3138;1.2551;
38;1.0459;1.4836;2.3162;1.2556;
39;1.0459;1.4836;2.3181;1.256;
40;1.0459;1.4836;2.3199;1.2562;
