name;time_p;time_s;cpi_ratio;
/users/user2210/NPB3.4-MZ-MPI/bin/Compare/binaries/bt-mz.A.x;94.86;11.45;;
/opt/other/openmpi/3.1.1/lib/openmpi/mca_btl_vader.so;2.99;0.36;;
/opt/other/openmpi/3.1.1/lib/libopen-pal.so.40.10.1;1;0.12;;
/opt/other/openmpi/3.1.1/lib/openmpi/mca_coll_libnbc.so;0.42;0.05;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.38;0.05;;
/opt/other/openmpi/3.1.1/lib/libmpi.so.40.10.1;0.12;0.01;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.11;0.01;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.08;0.01;;
/opt/other/openmpi/3.1.1/lib/openmpi/mca_pml_ob1.so;0.02;0;;
/opt/other/openmpi/3.1.1/lib/openmpi/mca_pmix_pmix2x.so;0.01;0;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.01;0;;
