Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0024;1.0087;1.0512;1.0428;
2;1.004;1.0168;1.1065;1.088;
3;1.0054;1.0249;1.1551;1.1273;
4;1.0062;1.032;1.1921;1.1389;
5;1.0068;1.0382;1.2277;1.149;
6;1.0074;1.0442;1.2592;1.1566;
7;1.0078;1.0493;1.2836;1.1636;
8;1.0081;1.0513;1.3076;1.1705;
9;1.0083;1.053;1.3321;1.1752;
10;1.0085;1.0546;1.3502;1.1783;
11;1.0086;1.0559;1.362;1.1808;
12;1.0087;1.057;1.3734;1.1831;
13;1.0087;1.058;1.3844;1.1851;
14;1.0088;1.0583;1.3955;1.1871;
15;1.0088;1.0586;1.405;1.189;
16;1.0088;1.0588;1.4142;1.1907;
17;1.0088;1.059;1.4219;1.1923;
18;1.0088;1.0591;1.4292;1.1932;
19;1.0088;1.0592;1.4362;1.1941;
20;1.0088;1.0592;1.4408;1.195;
21;1.0088;1.0593;1.4431;1.1958;
22;1.0088;1.0593;1.4446;1.1962;
23;1.0088;1.0594;1.4462;1.1965;
24;1.0088;1.0594;1.4477;1.1969;
25;1.0088;1.0594;1.4491;1.1972;
26;1.0088;1.0594;1.4506;1.1975;
27;1.0088;1.0594;1.4518;1.1977;
28;1.0088;1.0594;1.4531;1.1979;
29;1.0088;1.0594;1.4542;1.198;
30;1.0088;1.0594;1.4554;1.1981;
31;1.0088;1.0594;1.4565;1.1981;
32;1.0088;1.0594;1.4575;1.1982;
33;1.0088;1.0594;1.4583;1.1982;
34;1.0088;1.0594;1.4589;1.1982;
35;1.0088;1.0594;1.4596;1.1982;
36;1.0088;1.0594;1.4602;1.1982;
37;1.0088;1.0594;1.4606;1.1982;
38;1.0088;1.0594;1.461;1.1982;
39;1.0088;1.0594;1.4614;1.1982;
40;1.0088;1.0594;1.4618;1.1982;
