name;time_p;time_s;cpi_ratio;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_btl_vader.so;67.32;4.93;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;12.91;0.94;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_pml_ob1.so;6.72;0.49;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/libopen-pal.so.40.20.3;6.45;0.47;;
/home/benbachir/Documents/PPN/mpiBench-main/Multirun/binaries/mpiBench;3.26;0.24;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/libmpi.so.40.20.3;2.83;0.21;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.36;0.03;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.07;0.01;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_allocator_bucket.so;0.05;0;;
/usr/lib/x86_64-linux-gnu/openmpi/lib/openmpi3/mca_coll_tuned.so;0.02;0;;
