Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.07;96.68;0;22222.78;3.22;0;0;0.02;0;20.27;0;0.01;
knl01;_ALL;_ALL;0.07;96.68;0;22222.78;3.22;0;0;0.02;0;20.27;0;0.01;
knl01;13759;_ALL;0.07;96.68;0;22222.78;3.22;0;0;0.02;0;20.27;0;0.01;
knl01;13759;14018;0.05;99.46;0;4053.96;0.49;0;0;0;0;20.27;0;0;
knl01;13759;14017;0.07;99.26;0;4052.95;0.59;0;0;0.05;0;20.26;0;0.02;
knl01;13759;13759;0.05;99.48;0;4050.96;0.44;0;0;0.02;0;20.25;0;0;
knl01;13759;14016;0.12;99.31;0;4054.95;0.49;0;0;0.05;0;20.27;0;0.02;
knl01;13759;14019;0.1;89.22;0;3004.98;10.68;0;0;0;0;15.02;0;0;
knl01;13759;14020;0;89.62;0;3004.98;10.38;0;0;0;0;15.02;0;0;
