Range;Coverage;Count;
1;48.65;2;
2;0.3;2;
3 to 4;1.7;1;
5 to 8;0;0;
9 to 16;0;0;
17 to 32;0;0;
33 to 64;0;0;
> 64;48;1;
unknown;0;0;
