run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;1;2;45.0078125;1;1;1;
1;run_1;2;2;22.209247589111;1;2.0265347720319;2.0265347720319;
2;run_2;4;7;12.069012641907;3.5;3.7292041888929;1.0654869111123;
