Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;27.81;4.29;6.22;11.05;2.84;0.58;0.53;0.58;
inbetween;0;0;0;0;0;0;0.15;0.05;
outer;0;0;0;1.04;1.17;0;0.14;0.23;
count_inner;3;1;2;7;4;2;3;21;
count_inbetween;0;0;0;0;0;0;1;1;
count_outer;0;0;0;1;2;0;1;4;
