name;time_p;time_s;cpi_ratio;
/users/user2207/Cluster/lbm_init/target/multirun/binaries/lbm;99.86;114.24;;
kernel;0.07;0.08;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.05;0.06;;
/usr/lib/x86_64-linux-gnu/libmpich.so.12.1.8;0.01;0.01;;
